quote_date,paper,exch,open,high,low,close,volume,value
20140714,HEXA-B,Stockholm,215.90,218.20,215.60,218.20,209950,45681882
20140711,HEXA-B,Stockholm,214.30,216.80,214.10,214.60,370166,79616319
20140710,HEXA-B,Stockholm,218.80,219.20,212.70,213.60,539830,116121543
20140709,HEXA-B,Stockholm,219.40,219.90,216.80,218.60,416201,90771679
20140708,HEXA-B,Stockholm,221.80,222.60,218.60,219.50,320605,70505212
20140707,HEXA-B,Stockholm,223.00,223.70,220.50,220.90,365433,81113881
20140704,HEXA-B,Stockholm,222.00,224.00,221.60,222.70,409187,91210123
20140703,HEXA-B,Stockholm,216.40,221.50,216.00,221.50,652754,143604249
20140702,HEXA-B,Stockholm,217.90,218.80,214.30,216.00,343642,74331153
20140701,HEXA-B,Stockholm,215.90,217.90,214.50,217.60,360331,77937457
20140630,HEXA-B,Stockholm,215.30,217.20,214.20,215.40,418765,90244243
20140627,HEXA-B,Stockholm,214.10,215.60,213.40,215.20,254067,54581896
20140626,HEXA-B,Stockholm,213.10,214.50,210.60,213.80,317309,67736884
20140625,HEXA-B,Stockholm,214.50,215.00,211.90,212.60,442929,94507027
20140624,HEXA-B,Stockholm,215.00,215.50,213.30,215.00,298038,63937371
20140623,HEXA-B,Stockholm,216.20,216.70,213.50,214.30,246813,52946623
20140619,HEXA-B,Stockholm,216.10,216.20,215.00,215.70,471766,101777980
20140618,HEXA-B,Stockholm,211.80,215.80,211.40,215.20,585287,125627442
20140617,HEXA-B,Stockholm,212.00,213.80,210.10,210.80,385118,81362825
20140616,HEXA-B,Stockholm,214.90,214.90,210.70,212.00,500354,106087069
20140613,HEXA-B,Stockholm,217.30,217.80,213.30,215.00,394773,84839609
20140612,HEXA-B,Stockholm,217.00,217.30,214.80,217.30,329326,71277732
20140611,HEXA-B,Stockholm,217.10,217.70,215.20,216.70,632447,137002721
20140610,HEXA-B,Stockholm,217.90,218.00,216.00,216.20,399770,86651771
20140609,HEXA-B,Stockholm,219.70,223.80,218.10,218.70,553654,121749393
20140605,HEXA-B,Stockholm,216.50,219.30,214.00,216.30,776664,168274526
20140604,HEXA-B,Stockholm,207.40,217.40,205.90,216.50,1691547,360946104
20140603,HEXA-B,Stockholm,213.00,213.20,209.60,211.70,428803,90700266
20140602,HEXA-B,Stockholm,211.80,213.50,211.00,212.00,635857,134893452
20140530,HEXA-B,Stockholm,208.30,211.10,208.30,210.30,1353227,284190580
20140528,HEXA-B,Stockholm,206.80,208.00,205.80,208.00,278824,57725655
20140527,HEXA-B,Stockholm,203.80,207.80,203.80,206.60,598324,123424778
20140526,HEXA-B,Stockholm,204.90,206.00,202.30,203.50,336374,68518874
20140523,HEXA-B,Stockholm,206.40,206.50,204.00,204.70,371037,76028444
20140522,HEXA-B,Stockholm,206.30,207.30,205.00,205.00,359337,73955828
20140521,HEXA-B,Stockholm,204.50,206.20,203.60,204.70,500491,102523720
20140520,HEXA-B,Stockholm,205.00,206.40,204.20,204.30,531345,108918123
20140519,HEXA-B,Stockholm,206.10,208.10,204.50,205.70,635633,130926563
20140516,HEXA-B,Stockholm,209.80,210.30,204.30,205.90,801737,165179313
20140515,HEXA-B,Stockholm,213.30,214.40,208.70,210.10,702123,148294183
20140514,HEXA-B,Stockholm,216.70,216.70,213.00,213.00,666042,142672185
20140513,HEXA-B,Stockholm,218.10,219.40,216.00,216.20,591173,128229131
20140512,HEXA-B,Stockholm,214.70,217.90,213.10,217.20,1041646,224695042
20140509,HEXA-B,Stockholm,201.50,215.90,200.90,213.00,1589412,334687903
20140508,HEXA-B,Stockholm,203.90,204.50,200.50,202.40,671690,135532476
20140507,HEXA-B,Stockholm,199.50,203.60,197.40,202.50,857284,171290727
20140506,HEXA-B,Stockholm,206.50,207.20,202.00,202.00,664423,135424819
20140505,HEXA-B,Stockholm,207.60,207.70,203.90,206.80,263309,54243730
20140502,HEXA-B,Stockholm,208.10,208.10,206.50,207.70,646379,134055226
20140430,HEXA-B,Stockholm,207.60,208.10,206.00,207.20,253109,52454427
20140429,HEXA-B,Stockholm,208.20,208.90,206.40,207.70,325455,67556053
20140428,HEXA-B,Stockholm,208.70,209.10,204.60,206.10,412979,85423321
20140425,HEXA-B,Stockholm,208.90,209.70,205.80,207.60,352007,72983303
20140424,HEXA-B,Stockholm,213.70,214.30,206.30,209.20,562166,117783778
20140423,HEXA-B,Stockholm,212.40,212.70,210.40,211.60,272108,57509902
20140422,HEXA-B,Stockholm,209.70,212.30,208.30,212.10,398203,83728549
20140417,HEXA-B,Stockholm,208.40,209.10,205.80,206.90,208994,43308510
20140416,HEXA-B,Stockholm,208.50,210.20,207.70,209.00,526493,110143791
20140415,HEXA-B,Stockholm,208.00,210.60,205.10,206.40,560253,116345929
20140414,HEXA-B,Stockholm,211.20,211.40,205.70,207.90,576237,119582824
20140411,HEXA-B,Stockholm,214.00,214.10,204.50,212.00,1168474,244437733
20140410,HEXA-B,Stockholm,215.00,216.00,210.70,211.70,434902,92445901
20140409,HEXA-B,Stockholm,214.80,217.00,212.60,213.80,432351,92743752
20140408,HEXA-B,Stockholm,217.50,218.80,211.50,214.70,528333,112965644
20140407,HEXA-B,Stockholm,220.90,221.40,215.60,217.10,378412,82200037
20140404,HEXA-B,Stockholm,221.40,223.10,220.80,222.10,281077,62402327
20140403,HEXA-B,Stockholm,222.20,222.90,219.20,220.80,306985,67706445
20140402,HEXA-B,Stockholm,224.90,225.40,221.10,222.30,382191,85304646
20140401,HEXA-B,Stockholm,220.70,224.80,220.50,223.50,394412,87838822
20140331,HEXA-B,Stockholm,218.50,220.80,217.90,219.90,462814,101628703
20140328,HEXA-B,Stockholm,214.90,217.00,214.70,216.90,260311,56253499
20140327,HEXA-B,Stockholm,213.90,214.70,211.70,213.70,250391,53427395
20140326,HEXA-B,Stockholm,211.40,215.80,211.30,213.60,468571,100279192
20140325,HEXA-B,Stockholm,209.00,212.20,208.50,210.50,401839,84528544
